0x00409EAA	tagEXCEPINFO 
0x00415204	VariantChangeTypeEx
0x004267AD	TPropIntfFixup
0x0042E0C9	HelpIntfs
0x00432ACA	IChangeNotifier
0x004424BF	OnChange
0x0044FDE3	AllowChange
0x004515AA	TTVChangedEvent
0x00452039	ChangeDelay
0x004525EA	OnChangeH
0x00453FC6	TItemChange
0x00454212	TLVChangeEvent
0x00454244	Change
0x00454A5A	TLVOwnerDataStateChangeEvent
0x004559AA	OnChangedBE
0x00455BF7	OnDataStateChange
0x004687AF	ofNoChangeDir
0x00468B9B	InitialDir
0x00468C4B	OnFolderChange
0x00468C74	OnSelectionChange
0x00468CA0	OnTypeChange
0x00468E6F	fdoNoChangeDir
0x00468F51	fdoHidePinnedPlaces
0x00469128	CanChange
0x00469C04	OnTypeChangeh
0x0046DA1A	TMenuChangeEvent
0x0046DFC8	GroupIndex
0x0048D579	TChangeLink
0x0048F285	OnStateChange
0x004AE182	TSpinDirection
0x004AE1C2	TSpinButtonType
0x004AE1FA	TSpinChangingEvent
0x004AE25A	TSpinButtonEvent
0x004AE445	TRzSpinButtons
0x004AE5D3	InitialDelayXEJ
0x004AECC1	TRzSpinEdit
0x004AECD2	TRzSpinEdith
0x004B8FA5	InitialDelay
0x004BCF32	TRzTabOrderChangeEvent
0x004BEF94	OnPageChange4
0x004BF0B7	OnTabOrderChange
0x004E8C99	edtpwdChange
0x004E8CFC	edtContnameChange
0x004F4702	TNodeChange
0x004F4B92	TNodeChangeEvent
0x004F4BB5	ChangeType
0x004F525F	BeforeNodeChange
0x004F528A	AfterNodeChange`-O
0x004FFD5F	edtOldUPin$
0x004FFD70	edtNewUPin1(
0x004FFD82	edtNewUPin2,
0x004FFFC5	AcSetUserPIN
0x005000CE	LAdmin_UPIN
0x005000E0	LAdmin_ISOPath
0x005000F5	edtUPINForDownISO
0x0050011B	LAdmin_Old_SOPIN
0x00500132	LAdmin_New_SOPIN1 
0x0050014A	LAdmin_new_SOPIN2$
0x00500162	edtSPIN(
0x00500170	edtNewSPIN1,
0x00500182	edtNewSPIN20
0x00500194	LAdmin_SOPIN4
0x005001A7	LAdmin_New_UPIN18
0x005001BE	LAdmin_New_UPIN2<
0x005001D5	edtSPINForUnLock@
0x005001EC	edtUPINForUnlock1D
0x00500204	edtUPINForUnlock2H
0x0050021C	AcInitL
0x00500229	AcSetSOPINP
0x0050023A	AcUnlockT
0x00500285	edtUPINh
0x005002F3	PCInit
0x00500311	lInit_keyname
0x00500325	lInit_gs
0x00500334	LInit_Model
0x00500346	edtInit_KeyName
0x0050035C	edtInit_GS
0x0050036D	edtInit_UnLockPIN
0x00500396	LInit_SOPIN
0x005003A8	lInit_SOPINLenMax
0x005003C0	LInit_TryCount_SOPIN
0x005003F7	lInit_SOPINLenMin
0x0050041D	edtInit_SPIN
0x00500430	edtInit_SOPINlenMax
0x0050044A	edtInit_MaxCount_SOPIN
0x00500467	edtInit_SOPINlenMin
0x00500492	lInit_UPIN
0x005004A3	lINit_PINLenMax
0x005004B9	LInit_TryCount
0x005004EA	lInit_PINLenMin
0x0050050E	edtInit_UPIN
0x00500521	edtInit_PINLenMax
0x00500539	edtInit_MaxCount
0x00500550	edtInit_PINlenMin
0x005005BB	TCheckInit
0x005006EC	tvChange
0x005007A2	edtUPinKeyPress
0x005007CE	tvCertChange
0x005007F6	edtUPinChange
0x00500834	AcSetUserPINExecute
0x0050084E	AcSetUserPINUpdate
0x005008F4	AcUnlockExecute
0x0050090A	AcSetSOPINExecute
0x00500922	AcInitExecute
0x00500936	AcInitUpdate
0x00500949	AcSetSOPINUpdate
0x00500960	AcUnlockUpdate
0x0050098B	edtUPINEnter
0x0050099E	edtUPINExit
0x00500A64	TCheckInitTimer
0x00500A7A	edtNewSPIN2KeyPress
